s_m,x_m,y_m,curvature_1pm,radius_m,v_inner_mps,v_outer_mps
0.0,0.0,0.0,2.4843108697318086e-05,40252.611385464574,2.9999888206010863,3.0000111793989137
27.2256041367912,19.40934329309218,-19.092168906233773,2.4843108697318086e-05,40252.611385464574,2.9999888206010863,3.0000111793989137
69.62075455218765,48.31588573197505,-50.10443394723252,0.00032140023983391527,3111.385357138357,2.9998553698920745,3.0001446301079255
82.6714488846219,57.81308487778116,-59.05562554073174,0.001488294593122642,671.909986518103,2.999330267433095,3.000669732566905
95.7744115883036,66.79451126474898,-68.59615024692856,0.0015631559005132147,639.7314558782527,2.9992965798447693,3.0007034201552307
101.21263105756923,71.13204382686459,-71.87640058318135,0.006651953323938481,150.33178245573154,2.9970066210042274,3.0029933789957726
106.70513014304942,74.69397825537652,-76.05732982570413,0.015465036115025439,64.66198931332758,2.9930407337482383,3.0069592662517617
111.2521943023085,77.84290667774704,-79.33758016054226,0.0074504135435960375,134.22073743269522,2.996647313905382,3.003352686094618
116.54741653534913,80.68159584668841,-83.80761621178645,0.002442704498161625,409.38230586327495,2.998900782975827,3.001099217024173
121.48970345990192,84.08841064847034,-87.38809284918614,0.006942062763536136,144.0494034788331,2.9968760717564087,3.0031239282435913
125.88563388881936,86.15344067916202,-91.26879578914738,0.007607506148314339,131.44912149976753,2.9965766222332584,3.0034233777667416
130.55282834223027,89.14724947480254,-94.84927242796171,0.01221053201092751,81.8965135266076,2.9945052605950826,3.0054947394049174
136.19645464097178,91.62528551163562,-99.91976108291433,0.007853515221025823,127.33151612449291,2.9964659181505384,3.0035340818494616
142.26138825537984,94.46397468056158,-105.27935654800302,0.0010681557094996737,936.1930953572321,2.9995193299307252,3.0004806700692748
147.56717222751496,96.78689109066467,-110.04961890039411,0.005312359991522157,188.24025510241614,2.997609438003815,3.002390561996185
152.0380692079323,99.0070407480709,-113.93032184035535,0.009059193010988847,110.38510812022604,2.995923363145055,3.004076636854945
155.8338300038265,100.91695115203258,-117.21057217660812,0.017264840687884097,57.92118317673023,2.9922308216904523,3.0077691783095477
163.78014147716632,103.65093457292312,-124.67175175396905,0.005181861951966292,192.98082605626794,2.9976681621216152,3.0023318378783848
172.50583398488843,106.1813234837585,-133.02249074517448,0.002484661756275662,402.46926869391336,2.998881902209676,3.001118097790324
180.13556272008435,108.81447914732156,-140.18344402138848,0.0029565530118642507,338.23171645735226,2.9986695511446615,3.0013304488553385
187.8091403136275,111.60081544222982,-147.33327780517703,0.0005656454896041216,1767.8917597307639,2.9997454595296777,3.000254540470322
194.82204496542133,114.07885147904747,-153.89377847626795,0.002552295357609668,391.8041840332077,2.998851467089076,3.0011485329109244
200.93064820434472,116.34941501513286,-159.56471973492904,0.005534414632614528,180.68758240608858,2.997509513415323,3.0024904865846764
208.09541781924491,118.41444504580912,-166.4254467085815,0.0016113129934824768,620.6118885932481,2.9992749091529327,3.0007250908470673
218.39684885256102,121.46060671548277,-176.26619771733988,0.001274417014936022,784.6725116505148,2.999426512343279,3.0005734876567214
225.28998108610176,123.57605062485358,-182.8266983884308,0.0035726318709112938,279.90569309480065,2.9983923156580903,3.0016076843419097
232.6632674170406,125.33278039743925,-189.98765166464483,0.0008993553610931589,1111.9075320621967,2.999595290087508,3.0004047099124924
239.46759934043496,127.13798505336551,-196.54815233715038,0.0005239609579012538,1908.5391476600455,2.999764217568944,3.0002357824310555
247.79190501208748,129.25536795805948,-204.59866502579428,0.0003155780010848637,3168.7886879386274,2.999857989899512,3.0001420101004883
255.21633247265922,131.21569224071573,-211.75961830200828,0.002418485480166763,413.4819118000438,2.998911681533925,3.001088318466075
264.7968325967813,133.7460811515511,-220.99991670564356,0.003829349585051248,261.1409529972743,2.998276792686727,3.001723207313273
276.9328521629834,135.9662308089419,-232.9311323356633,0.0008514646492396693,1174.4468791428606,2.999616840907842,3.0003831590921584
328.20550700551075,145.36066320206658,-283.3357925826281,0.000446955118141396,2237.3611116891743,2.9997988701968366,3.0002011298031634
385.8268489288546,154.03185033558984,-340.3009535035131,0.0005222833748303392,1914.669407818781,2.999764972481326,3.000235027518674
438.99650292512996,160.32970718033087,-393.09630467430077,0.00046224229258052857,2163.367601907147,2.999791990968339,3.000208009031661
481.8392915729617,164.45976724169878,-435.7395590413431,0.0002592158716466561,3857.788466607192,2.999883352857759,3.000116647142241
524.0480744670118,168.07211554888985,-477.79348029851707,0.0001810572094770907,5523.116162499626,2.9999185242557354,3.0000814757442646
539.0197364264267,169.41583931534953,-492.70471996081346,0.0008039328728768078,1243.8849482812939,2.9996382302072053,3.0003617697927947
547.0867542218423,169.9316120741878,-500.75523265087196,0.0006634242956251407,1507.3309895256489,2.999701459066969,3.000298540933031
553.3752468062653,170.39503195899294,-507.02662651465613,0.00030423422609690207,3286.941159872948,2.9998630945982563,3.000136905401744
565.9265680762102,171.27339684527809,-519.5471752545442,0.00030839216618824177,3242.624520460752,2.9998612235252153,3.0001387764747847
595.5120270538345,173.0281876225252,-549.0805477718301,0.00028287988003245976,3535.0693725027472,2.999872704053985,3.000127295946015
617.3192207501461,174.26720564094944,-570.8525144091936,0.00035544232944004396,2813.3959215701125,2.9998400509517515,3.0001599490482485
641.7906612462865,175.24833727993143,-595.3042787762721,0.00016285605364076906,6140.391945182577,2.999926714775862,3.000073285224138
662.9825379100326,176.17711604491112,-616.4757928113418,0.0002269964660120494,4405.354927186038,2.999897851590295,3.0001021484097055
685.070181445712,177.00312805717854,-638.5479857498522,0.0005609011347056979,1782.845385978217,2.9997475944893823,3.0002524055106177
